Order ID,Order Date,Ship Mode,Customer Name,Segment,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
ORD-100001,2023-01-26,Standard Class,Customer 693,Home Office,West,Technology,Phones,Phones Model 704,1488.27,7,0.1,-29.1
ORD-100002,2023-04-06,Second Class,Customer 734,Home Office,South,Furniture,Chairs,Chairs Model 325,452.9,8,0.5,32.11
ORD-100003,2023-01-07,First Class,Customer 285,Consumer,East,Technology,Accessories,Accessories Model 881,1522.44,6,0.1,295.6
ORD-100004,2024-01-25,Standard Class,Customer 748,Corporate,West,Furniture,Chairs,Chairs Model 487,211.5,2,0.2,27.85
ORD-100005,2024-10-05,Standard Class,Customer 47,Home Office,East,Technology,Accessories,Accessories Model 891,1244.67,5,0.2,149.12
ORD-100006,2023-04-14,First Class,Customer 167,Corporate,Central,Furniture,Chairs,Chairs Model 314,772.65,5,0.3,97.4
ORD-100007,2024-10-25,Second Class,Customer 168,Corporate,South,Technology,Copiers,Copiers Model 376,161.38,9,0.1,19.42
ORD-100008,2023-11-29,Standard Class,Customer 324,Corporate,Central,Furniture,Bookcases,Bookcases Model 167,1688.85,4,0.0,5.19
ORD-100009,2023-11-19,Same Day,Customer 147,Corporate,East,Technology,Copiers,Copiers Model 352,441.0,9,0.3,7.95
ORD-100010,2024-08-21,Second Class,Customer 142,Home Office,South,Technology,Accessories,Accessories Model 193,868.3,1,0.5,-17.6
ORD-100011,2024-10-04,Same Day,Customer 391,Home Office,South,Furniture,Chairs,Chairs Model 641,336.76,5,0.3,36.5
ORD-100012,2024-11-27,First Class,Customer 115,Corporate,South,Technology,Phones,Phones Model 261,1447.03,8,0.5,199.54
ORD-100013,2023-09-27,Standard Class,Customer 641,Corporate,East,Furniture,Bookcases,Bookcases Model 256,1944.34,6,0.1,210.88
ORD-100014,2024-06-27,Standard Class,Customer 115,Corporate,Central,Furniture,Bookcases,Bookcases Model 345,1838.62,1,0.5,-99.52
ORD-100015,2023-03-22,Second Class,Customer 132,Home Office,South,Furniture,Bookcases,Bookcases Model 662,189.59,3,0.3,39.29
ORD-100016,2024-09-13,Second Class,Customer 731,Corporate,South,Office Supplies,Storage,Storage Model 787,857.81,6,0.1,255.64
ORD-100017,2024-04-07,Standard Class,Customer 603,Home Office,East,Office Supplies,Storage,Storage Model 702,259.59,4,0.1,-23.67
ORD-100018,2024-12-25,Standard Class,Customer 339,Consumer,East,Furniture,Chairs,Chairs Model 385,1269.58,8,0.1,-113.84
ORD-100019,2023-05-16,Second Class,Customer 485,Corporate,East,Furniture,Bookcases,Bookcases Model 196,1452.24,2,0.5,86.11
ORD-100020,2023-12-29,Standard Class,Customer 690,Home Office,West,Technology,Accessories,Accessories Model 162,858.69,7,0.3,196.41
ORD-100021,2023-04-22,Second Class,Customer 433,Consumer,Central,Technology,Accessories,Accessories Model 573,512.34,4,0.1,62.16
ORD-100022,2024-07-17,Standard Class,Customer 772,Consumer,East,Furniture,Tables,Tables Model 516,213.86,8,0.5,37.68
ORD-100023,2024-02-15,Same Day,Customer 272,Corporate,Central,Office Supplies,Binders,Binders Model 533,1806.84,9,0.1,91.31
ORD-100024,2024-05-13,Standard Class,Customer 594,Home Office,West,Technology,Copiers,Copiers Model 865,326.5,6,0.2,-13.72
ORD-100025,2024-08-21,Standard Class,Customer 191,Consumer,West,Furniture,Chairs,Chairs Model 791,964.04,4,0.5,-124.51
ORD-100026,2024-08-06,Standard Class,Customer 430,Home Office,Central,Office Supplies,Binders,Binders Model 367,507.51,4,0.5,-92.43
ORD-100027,2023-11-18,First Class,Customer 469,Corporate,West,Technology,Copiers,Copiers Model 109,492.6,8,0.3,-49.8
ORD-100028,2023-04-13,Second Class,Customer 358,Consumer,East,Technology,Copiers,Copiers Model 478,165.06,5,0.1,17.77
ORD-100029,2024-07-10,Standard Class,Customer 684,Home Office,Central,Furniture,Tables,Tables Model 779,1413.01,2,0.5,342.99
ORD-100030,2023-04-29,First Class,Customer 620,Consumer,Central,Furniture,Tables,Tables Model 308,1781.63,5,0.5,-231.7
ORD-100031,2023-09-15,Same Day,Customer 284,Consumer,West,Technology,Accessories,Accessories Model 441,1812.57,3,0.0,-105.97
ORD-100032,2023-06-15,Standard Class,Customer 115,Consumer,East,Technology,Accessories,Accessories Model 658,1487.64,1,0.5,174.87
ORD-100033,2024-07-19,First Class,Customer 41,Corporate,East,Office Supplies,Storage,Storage Model 798,313.23,4,0.1,-31.69
ORD-100034,2023-12-29,Second Class,Customer 243,Consumer,East,Technology,Phones,Phones Model 522,1564.63,1,0.3,435.32
ORD-100035,2023-12-07,Second Class,Customer 274,Consumer,West,Furniture,Bookcases,Bookcases Model 491,1569.13,1,0.3,315.4
ORD-100036,2023-07-24,Second Class,Customer 229,Consumer,East,Office Supplies,Binders,Binders Model 508,1636.84,6,0.3,-4.34
ORD-100037,2023-10-13,First Class,Customer 29,Consumer,Central,Office Supplies,Binders,Binders Model 282,715.27,10,0.5,-14.41
ORD-100038,2023-04-22,First Class,Customer 447,Home Office,West,Office Supplies,Binders,Binders Model 494,1201.21,10,0.2,225.64
ORD-100039,2023-02-15,Second Class,Customer 373,Corporate,West,Furniture,Tables,Tables Model 780,1423.39,6,0.0,190.68
ORD-100040,2024-11-10,Same Day,Customer 335,Corporate,Central,Technology,Accessories,Accessories Model 667,1699.07,3,0.2,149.87
ORD-100041,2024-11-11,First Class,Customer 416,Home Office,West,Furniture,Tables,Tables Model 411,1881.92,5,0.1,295.43
ORD-100042,2024-08-16,Same Day,Customer 692,Consumer,South,Furniture,Tables,Tables Model 912,1221.19,3,0.2,84.56
ORD-100043,2023-10-18,Second Class,Customer 689,Corporate,East,Technology,Phones,Phones Model 925,1040.59,4,0.5,-51.16
ORD-100044,2023-02-17,Standard Class,Customer 467,Corporate,East,Furniture,Chairs,Chairs Model 835,504.79,7,0.3,58.09
ORD-100045,2023-09-07,Standard Class,Customer 798,Corporate,East,Office Supplies,Paper,Paper Model 280,312.19,9,0.0,94.19
ORD-100046,2024-07-24,Same Day,Customer 684,Home Office,Central,Office Supplies,Binders,Binders Model 873,513.41,8,0.0,54.12
ORD-100047,2024-05-31,Second Class,Customer 762,Corporate,South,Technology,Copiers,Copiers Model 365,864.95,4,0.5,0.57
ORD-100048,2024-06-17,Standard Class,Customer 731,Corporate,East,Technology,Accessories,Accessories Model 378,979.5,6,0.1,3.5
ORD-100049,2023-03-24,Second Class,Customer 724,Consumer,West,Office Supplies,Storage,Storage Model 524,293.98,7,0.1,15.39
ORD-100050,2024-04-22,Same Day,Customer 789,Home Office,West,Office Supplies,Storage,Storage Model 977,843.23,10,0.1,214.86
ORD-100051,2023-01-07,Same Day,Customer 552,Home Office,East,Office Supplies,Paper,Paper Model 599,1886.63,4,0.2,375.56
ORD-100052,2024-05-12,Same Day,Customer 742,Consumer,South,Office Supplies,Paper,Paper Model 230,77.47,10,0.2,12.47
ORD-100053,2024-02-08,Same Day,Customer 139,Corporate,East,Technology,Phones,Phones Model 151,1191.95,5,0.0,-74.17
ORD-100054,2023-08-05,Same Day,Customer 285,Corporate,Central,Office Supplies,Paper,Paper Model 954,920.3,2,0.2,186.41
ORD-100055,2024-07-06,Standard Class,Customer 800,Home Office,West,Office Supplies,Binders,Binders Model 872,123.13,1,0.2,-4.81
ORD-100056,2023-01-21,Standard Class,Customer 578,Consumer,South,Furniture,Chairs,Chairs Model 816,1250.24,5,0.1,-79.02
ORD-100057,2024-09-12,Second Class,Customer 319,Consumer,West,Office Supplies,Binders,Binders Model 419,1222.35,10,0.0,305.6
ORD-100058,2024-02-11,Second Class,Customer 105,Home Office,Central,Technology,Accessories,Accessories Model 970,1884.11,10,0.1,-161.66
ORD-100059,2023-02-12,Standard Class,Customer 519,Home Office,Central,Furniture,Bookcases,Bookcases Model 112,707.46,7,0.3,97.41
ORD-100060,2024-03-19,Same Day,Customer 181,Home Office,Central,Office Supplies,Binders,Binders Model 730,1922.36,9,0.3,304.29
ORD-100061,2024-03-22,Second Class,Customer 89,Corporate,South,Office Supplies,Paper,Paper Model 349,1654.95,8,0.5,-131.11
ORD-100062,2024-11-15,First Class,Customer 187,Corporate,East,Technology,Copiers,Copiers Model 463,770.4,5,0.0,94.33
ORD-100063,2024-09-02,Second Class,Customer 88,Consumer,South,Office Supplies,Paper,Paper Model 600,1408.34,9,0.2,155.07
ORD-100064,2024-05-02,Standard Class,Customer 96,Corporate,East,Furniture,Bookcases,Bookcases Model 514,1298.89,4,0.3,54.14
ORD-100065,2024-08-18,Same Day,Customer 764,Home Office,Central,Office Supplies,Storage,Storage Model 460,750.66,8,0.5,29.21
ORD-100066,2023-09-15,Second Class,Customer 197,Consumer,South,Office Supplies,Paper,Paper Model 383,476.47,10,0.1,10.48
ORD-100067,2023-10-17,First Class,Customer 184,Corporate,West,Technology,Copiers,Copiers Model 825,1961.41,9,0.1,26.11
ORD-100068,2023-02-16,Second Class,Customer 654,Corporate,West,Furniture,Tables,Tables Model 993,1949.1,1,0.5,-133.59
ORD-100069,2024-04-25,Standard Class,Customer 259,Corporate,West,Technology,Accessories,Accessories Model 941,967.85,2,0.2,-55.2
ORD-100070,2023-03-17,First Class,Customer 88,Consumer,West,Office Supplies,Paper,Paper Model 671,1162.5,7,0.0,-36.88
ORD-100071,2024-09-25,Same Day,Customer 305,Home Office,South,Technology,Copiers,Copiers Model 412,466.86,10,0.5,-13.46
ORD-100072,2024-09-16,Second Class,Customer 641,Consumer,Central,Technology,Phones,Phones Model 776,1921.02,2,0.0,627.05
ORD-100073,2023-06-27,Same Day,Customer 706,Home Office,South,Furniture,Chairs,Chairs Model 398,1112.94,1,0.1,-132.21
ORD-100074,2024-12-24,Second Class,Customer 271,Home Office,East,Furniture,Tables,Tables Model 535,579.78,2,0.3,-74.19
ORD-100075,2024-10-25,Standard Class,Customer 62,Consumer,Central,Technology,Phones,Phones Model 709,315.0,10,0.2,73.07
ORD-100076,2023-05-08,First Class,Customer 513,Home Office,South,Office Supplies,Paper,Paper Model 548,948.02,2,0.2,165.79
ORD-100077,2024-03-18,Standard Class,Customer 235,Home Office,West,Technology,Phones,Phones Model 883,1474.38,5,0.5,-128.76
ORD-100078,2023-06-29,Second Class,Customer 600,Corporate,South,Technology,Phones,Phones Model 193,951.59,8,0.3,240.02
ORD-100079,2023-12-08,First Class,Customer 422,Home Office,South,Office Supplies,Paper,Paper Model 395,655.7,7,0.0,187.52
ORD-100080,2024-04-10,Same Day,Customer 527,Consumer,South,Technology,Phones,Phones Model 523,194.36,1,0.2,1.06
ORD-100081,2024-01-06,Standard Class,Customer 209,Corporate,East,Furniture,Bookcases,Bookcases Model 394,1252.82,8,0.3,152.13
ORD-100082,2023-05-05,Second Class,Customer 319,Home Office,West,Technology,Accessories,Accessories Model 665,77.16,7,0.5,12.32
ORD-100083,2023-04-27,Second Class,Customer 511,Home Office,Central,Furniture,Chairs,Chairs Model 621,933.67,5,0.0,178.77
ORD-100084,2024-04-28,Second Class,Customer 614,Home Office,East,Office Supplies,Paper,Paper Model 984,502.59,2,0.5,-67.8
ORD-100085,2023-12-15,Standard Class,Customer 290,Home Office,Central,Office Supplies,Paper,Paper Model 957,1869.81,10,0.5,-149.16
ORD-100086,2024-05-16,First Class,Customer 341,Home Office,South,Technology,Copiers,Copiers Model 566,1733.22,6,0.3,142.75
ORD-100087,2023-09-02,Same Day,Customer 45,Corporate,South,Furniture,Bookcases,Bookcases Model 822,1152.16,7,0.1,305.56
ORD-100088,2024-10-29,Second Class,Customer 515,Home Office,Central,Office Supplies,Storage,Storage Model 990,1962.02,2,0.3,537.93
ORD-100089,2024-06-22,Same Day,Customer 671,Consumer,West,Office Supplies,Binders,Binders Model 580,1822.67,5,0.0,410.28
ORD-100090,2024-12-10,Same Day,Customer 325,Home Office,South,Office Supplies,Storage,Storage Model 993,807.02,9,0.0,228.62
ORD-100091,2023-03-12,Standard Class,Customer 445,Consumer,West,Furniture,Bookcases,Bookcases Model 554,484.85,3,0.2,149.74
ORD-100092,2023-01-30,First Class,Customer 442,Consumer,East,Technology,Accessories,Accessories Model 643,111.06,7,0.0,3.56
ORD-100093,2023-07-04,Same Day,Customer 635,Home Office,East,Technology,Copiers,Copiers Model 609,356.57,10,0.0,62.14
ORD-100094,2024-04-17,Standard Class,Customer 477,Corporate,East,Furniture,Chairs,Chairs Model 175,1283.05,8,0.3,-57.87
ORD-100095,2023-11-03,Same Day,Customer 310,Consumer,South,Office Supplies,Storage,Storage Model 973,1285.1,8,0.3,193.59
ORD-100096,2024-01-26,First Class,Customer 23,Home Office,South,Furniture,Chairs,Chairs Model 381,1152.41,1,0.5,-77.05
ORD-100097,2023-02-20,First Class,Customer 795,Consumer,Central,Technology,Copiers,Copiers Model 324,1823.02,4,0.3,391.54
ORD-100098,2024-11-25,Standard Class,Customer 317,Corporate,West,Technology,Accessories,Accessories Model 693,1516.04,6,0.1,246.68
ORD-100099,2023-04-03,Second Class,Customer 206,Consumer,Central,Technology,Phones,Phones Model 643,1821.06,9,0.2,357.59
ORD-100100,2023-09-21,First Class,Customer 765,Corporate,West,Office Supplies,Binders,Binders Model 579,1829.82,2,0.3,503.79
ORD-100101,2024-11-23,First Class,Customer 93,Corporate,West,Furniture,Chairs,Chairs Model 370,1453.95,9,0.3,400.23
ORD-100102,2024-01-13,First Class,Customer 111,Home Office,East,Furniture,Tables,Tables Model 582,1352.2,1,0.2,166.39
ORD-100103,2023-12-02,Same Day,Customer 718,Corporate,South,Technology,Copiers,Copiers Model 219,1832.21,3,0.1,314.12
ORD-100104,2023-11-08,Second Class,Customer 398,Corporate,Central,Furniture,Chairs,Chairs Model 786,1991.94,9,0.0,-112.07
ORD-100105,2023-06-08,Same Day,Customer 287,Consumer,Central,Office Supplies,Storage,Storage Model 322,1773.12,8,0.0,487.9
ORD-100106,2024-01-07,First Class,Customer 63,Corporate,Central,Office Supplies,Binders,Binders Model 294,216.72,2,0.2,22.76
ORD-100107,2024-11-09,Standard Class,Customer 342,Consumer,East,Office Supplies,Binders,Binders Model 905,439.97,10,0.5,104.27
ORD-100108,2024-07-21,Second Class,Customer 337,Consumer,West,Furniture,Chairs,Chairs Model 383,430.17,3,0.1,105.77
ORD-100109,2023-09-14,Standard Class,Customer 135,Consumer,Central,Furniture,Bookcases,Bookcases Model 908,1601.06,4,0.0,316.17
ORD-100110,2023-01-17,Same Day,Customer 539,Consumer,West,Technology,Accessories,Accessories Model 587,365.01,8,0.0,-15.68
ORD-100111,2024-08-30,Standard Class,Customer 745,Home Office,Central,Office Supplies,Storage,Storage Model 569,235.93,1,0.5,-23.66
ORD-100112,2024-02-16,Same Day,Customer 76,Consumer,Central,Furniture,Tables,Tables Model 722,864.02,3,0.0,104.22
ORD-100113,2023-10-09,First Class,Customer 391,Home Office,Central,Furniture,Chairs,Chairs Model 564,1256.15,9,0.5,58.74
