PlayerID,PlayerName,Age,Nationality,Club,Position,Overall,Potential,MarketValue,WeeklyWage,PreferredFoot,Height_cm,Weight_kg,MatchesPlayed,Goals,Assists,JoinDate
1,Player_1,30,Netherlands,Arsenal,LB,90,95,60693907,266755,Left,176,66,28,19,4,2019-01-07
2,Player_2,33,Netherlands,Manchester City,ST,57,63,60849941,343343,Right,198,64,3,2,6,2020-09-17
3,Player_3,35,Netherlands,Arsenal,RW,56,63,43844352,231465,Right,183,91,0,5,14,2021-02-13
4,Player_4,29,Spain,Arsenal,RW,90,91,95050599,133666,Left,166,64,36,6,12,2019-03-18
5,Player_5,25,Brazil,Arsenal,RB,79,80,2317000,444734,Right,195,84,45,25,13,2018-10-27
6,Player_6,34,Germany,PSG,GK,67,71,45266991,46188,Left,172,68,15,6,0,2018-09-03
7,Player_7,30,France,Juventus,RW,86,88,91596884,293731,Right,173,86,41,24,3,2022-06-06
8,Player_8,29,Netherlands,Chelsea,GK,68,68,36261268,453659,Right,176,85,38,6,1,2019-08-23
9,Player_9,22,Netherlands,PSG,CDM,83,87,1335166,405611,Left,169,64,5,13,18,2020-09-22
10,Player_10,16,Nigeria,Manchester City,ST,93,95,49939272,326685,Left,173,84,11,9,9,2020-07-24
11,Player_11,35,Belgium,Arsenal,CAM,70,73,21320249,388171,Left,170,86,3,6,3,2018-06-08
12,Player_12,32,Portugal,Chelsea,CAM,71,74,99348121,369902,Left,183,93,11,4,4,2020-07-24
13,Player_13,31,France,Real Madrid,CB,90,91,37660410,111858,Left,191,88,15,3,1,2019-12-23
14,Player_14,25,Argentina,PSG,LB,78,86,76845279,69485,Left,186,93,37,8,18,2018-05-24
15,Player_15,16,Brazil,Real Madrid,ST,85,90,94132603,163975,Right,195,64,46,19,10,2019-07-14
16,Player_16,18,Brazil,Manchester City,CM,59,66,73345678,193320,Left,170,90,4,26,0,2023-08-10
17,Player_17,34,Brazil,Liverpool,CB,55,61,50942197,305991,Right,170,67,16,26,10,2022-05-11
18,Player_18,39,Belgium,Barcelona,RW,92,95,59175928,243047,Right,184,65,30,1,7,2019-04-08
19,Player_19,31,Germany,Manchester City,ST,86,90,1567627,193412,Right,198,70,48,21,14,2023-08-04
20,Player_20,23,France,Bayern Munich,RB,75,81,89425459,131886,Right,189,74,37,20,6,2019-07-12
21,Player_21,20,Brazil,Barcelona,CDM,86,91,112403071,470080,Right,172,88,30,17,6,2022-08-23
22,Player_22,28,Netherlands,Juventus,CM,88,95,90264083,165845,Right,167,77,38,2,8,2024-05-26
23,Player_23,27,Portugal,Juventus,RB,74,74,86081623,71740,Right,182,75,49,9,1,2019-04-18
24,Player_24,30,Spain,Barcelona,RB,61,69,87968388,336000,Right,195,76,11,0,15,2023-12-31
25,Player_25,38,Spain,Inter Milan,RW,57,59,30444492,143292,Right,190,74,5,26,12,2019-06-17
26,Player_26,30,Brazil,Bayern Munich,RW,84,87,84009654,465714,Left,194,80,41,13,3,2019-05-21
27,Player_27,22,Belgium,PSG,CDM,70,76,11840001,162954,Right,187,92,5,2,14,2021-11-02
28,Player_28,33,Brazil,Arsenal,CB,81,85,65474094,482718,Left,167,71,34,21,4,2023-04-12
29,Player_29,20,Nigeria,Juventus,ST,88,95,112789729,355907,Right,179,88,33,35,9,2024-04-19
30,Player_30,36,Belgium,Chelsea,CDM,65,73,69066768,442801,Left,178,79,9,34,16,2021-01-23
31,Player_31,34,Argentina,Inter Milan,GK,86,89,55224696,281467,Left,166,94,2,33,12,2024-02-07
32,Player_32,34,England,Barcelona,RW,62,69,12562049,362776,Left,191,85,17,15,15,2023-07-13
