Loan_ID,Customer_ID,Age,Annual_Income,Credit_Score,Loan_Amount,Term_Months,Interest_Rate_Pct,Loan_Purpose,Employment_Status,Home_Ownership,Debt_to_Income_Ratio,Loan_Status
LN100001,CUST200001,59,29138.37,682,16580.39,36,19.02,Small Business,Employed,Own,0.1,Fully Paid
LN100002,CUST200002,49,38566.68,808,16607.29,60,14.07,Home Improvement,Unemployed,Rent,0.14,Fully Paid
LN100003,CUST200003,35,54196.91,805,26809.52,36,15.44,Debt Consolidation,Employed,Mortgage,0.04,Fully Paid
LN100004,CUST200004,63,104115.49,571,15501.24,36,20.35,Major Purchase,Employed,Mortgage,0.04,Charged Off
LN100005,CUST200005,28,58831.23,718,17305.32,60,13.64,Debt Consolidation,Self-Employed,Rent,0.04,Current
LN100006,CUST200006,41,53285.78,706,4904.88,36,19.35,Small Business,Employed,Rent,0.09,Current
LN100007,CUST200007,59,23162.88,672,14623.65,36,18.99,Debt Consolidation,Employed,Mortgage,0.11,Fully Paid
LN100008,CUST200008,39,48582.88,640,26634.48,36,19.59,Debt Consolidation,Unemployed,Mortgage,0.23,Charged Off
LN100009,CUST200009,43,34176.59,771,18430.57,36,13.96,Home Improvement,Employed,Mortgage,0.15,Fully Paid
LN100010,CUST200010,31,39920.5,713,6351.9,36,16.01,Debt Consolidation,Employed,Mortgage,0.38,Current
LN100011,CUST200011,31,67998.77,768,7209.37,36,15.57,Debt Consolidation,Self-Employed,Own,0.04,Charged Off
LN100012,CUST200012,44,54970.89,519,9068.04,60,22.07,Home Improvement,Employed,Rent,0.11,Fully Paid
LN100013,CUST200013,56,107487.36,565,22997.05,36,23.12,Debt Consolidation,Employed,Mortgage,0.01,Fully Paid
LN100014,CUST200014,60,91950.08,802,22012.32,60,14.47,Debt Consolidation,Employed,Rent,0.07,Fully Paid
LN100015,CUST200015,44,49777.9,646,1000.0,36,20.27,Debt Consolidation,Employed,Rent,0.06,Fully Paid
LN100016,CUST200016,23,42079.55,664,14348.91,36,18.33,Home Improvement,Employed,Rent,0.18,Fully Paid
LN100017,CUST200017,42,99566.05,809,16181.1,60,12.64,Debt Consolidation,Employed,Rent,0.16,Fully Paid
LN100018,CUST200018,22,106501.06,505,7302.85,60,26.73,Debt Consolidation,Employed,Mortgage,0.07,Current
LN100019,CUST200019,44,18000.0,513,11876.2,36,25.35,Home Improvement,Employed,Rent,0.2,Charged Off
LN100020,CUST200020,64,67321.44,631,25647.99,36,22.39,Credit Card Reinvestment,Employed,Rent,0.16,Current
LN100021,CUST200021,50,58703.04,841,18270.75,60,8.75,Credit Card Reinvestment,Employed,Rent,0.21,Current
LN100022,CUST200022,58,81228.0,742,11003.34,60,16.68,Debt Consolidation,Self-Employed,Rent,0.28,Fully Paid
LN100023,CUST200023,22,113566.7,730,13501.53,60,14.58,Debt Consolidation,Employed,Mortgage,0.15,Fully Paid
LN100024,CUST200024,41,52898.57,727,13177.01,36,15.81,Home Improvement,Employed,Mortgage,0.16,Current
LN100025,CUST200025,53,18000.0,661,17255.64,36,20.62,Small Business,Employed,Mortgage,0.06,Fully Paid
LN100026,CUST200026,32,79475.19,782,3562.15,36,12.22,Home Improvement,Employed,Mortgage,0.12,Current
LN100027,CUST200027,42,99749.1,762,9641.96,60,17.69,Debt Consolidation,Employed,Mortgage,0.18,Fully Paid
LN100028,CUST200028,64,57406.01,630,23283.17,36,21.46,Debt Consolidation,Employed,Rent,0.14,Fully Paid
LN100029,CUST200029,45,47374.06,724,14419.47,36,16.91,Small Business,Employed,Mortgage,0.28,Current
LN100030,CUST200030,47,54068.51,757,8200.73,60,13.32,Credit Card Reinvestment,Employed,Rent,0.13,Fully Paid
LN100031,CUST200031,62,86255.13,733,8530.72,36,15.41,Debt Consolidation,Employed,Own,0.22,Fully Paid
LN100032,CUST200032,48,53638.48,835,20766.75,60,11.06,Debt Consolidation,Employed,Own,0.26,Fully Paid
LN100033,CUST200033,36,73219.01,815,10857.56,36,10.55,Small Business,Employed,Own,0.21,Fully Paid
LN100034,CUST200034,35,65695.07,523,19087.23,36,25.72,Debt Consolidation,Employed,Rent,0.38,Fully Paid
LN100035,CUST200035,64,63115.51,770,9985.33,36,13.59,Home Improvement,Employed,Rent,0.06,Fully Paid
LN100036,CUST200036,23,82532.31,594,5960.28,36,20.98,Credit Card Reinvestment,Employed,Mortgage,0.08,Current
LN100037,CUST200037,57,53035.5,641,16955.58,36,19.17,Debt Consolidation,Employed,Mortgage,0.06,Fully Paid
LN100038,CUST200038,27,54235.34,681,14220.95,36,17.44,Debt Consolidation,Employed,Mortgage,0.19,Current
LN100039,CUST200039,41,84940.07,705,20480.99,36,17.6,Debt Consolidation,Employed,Rent,0.1,Current
LN100040,CUST200040,29,40326.87,580,22072.99,60,20.87,Small Business,Employed,Mortgage,0.12,Fully Paid
LN100041,CUST200041,59,42994.5,773,12136.26,36,15.61,Home Improvement,Employed,Mortgage,0.06,Current
LN100042,CUST200042,38,33492.14,775,17791.47,36,13.11,Major Purchase,Employed,Rent,0.42,Fully Paid
LN100043,CUST200043,24,86225.27,707,11889.52,36,16.68,Home Improvement,Employed,Mortgage,0.42,Current
LN100044,CUST200044,45,62369.08,795,20069.18,36,11.24,Small Business,Employed,Rent,0.08,Current
LN100045,CUST200045,34,32159.62,538,16867.32,60,25.09,Small Business,Employed,Mortgage,0.18,Charged Off
LN100046,CUST200046,29,86345.21,787,10009.31,36,15.51,Home Improvement,Employed,Mortgage,0.14,Fully Paid
LN100047,CUST200047,46,51111.45,623,9339.38,36,21.15,Debt Consolidation,Self-Employed,Mortgage,0.09,Current
LN100048,CUST200048,22,43208.05,782,17149.34,60,13.98,Credit Card Reinvestment,Employed,Rent,0.16,Current
LN100049,CUST200049,40,60108.04,679,24297.53,36,17.79,Credit Card Reinvestment,Employed,Mortgage,0.02,Fully Paid
LN100050,CUST200050,48,101968.09,596,22210.37,36,18.82,Home Improvement,Self-Employed,Mortgage,0.03,Fully Paid
LN100051,CUST200051,27,55125.95,690,7455.92,60,15.37,Major Purchase,Employed,Mortgage,0.14,Fully Paid
LN100052,CUST200052,64,79383.47,573,8297.25,60,23.21,Debt Consolidation,Employed,Mortgage,0.02,Current
LN100053,CUST200053,28,83177.0,772,9476.18,36,13.85,Debt Consolidation,Employed,Rent,0.15,Fully Paid
LN100054,CUST200054,55,76081.83,548,10227.5,36,21.04,Credit Card Reinvestment,Employed,Mortgage,0.07,Current
LN100055,CUST200055,34,96776.79,836,1000.0,60,9.45,Debt Consolidation,Employed,Rent,0.15,Fully Paid
LN100056,CUST200056,37,47322.1,709,21320.35,36,17.59,Home Improvement,Unemployed,Mortgage,0.14,Current
LN100057,CUST200057,56,38916.63,615,11352.94,60,21.71,Education,Employed,Rent,0.29,Fully Paid
LN100058,CUST200058,60,38425.83,522,18696.59,60,21.82,Credit Card Reinvestment,Self-Employed,Rent,0.15,Current
LN100059,CUST200059,24,61388.29,597,12473.94,36,21.35,Small Business,Employed,Mortgage,0.23,Fully Paid
LN100060,CUST200060,22,41323.83,827,14816.27,36,12.5,Credit Card Reinvestment,Employed,Rent,0.05,Fully Paid
LN100061,CUST200061,26,68688.52,812,9518.51,36,11.64,Credit Card Reinvestment,Employed,Own,0.18,Fully Paid
LN100062,CUST200062,62,66924.71,689,14773.94,36,19.3,Home Improvement,Employed,Rent,0.16,Fully Paid
LN100063,CUST200063,24,90464.33,681,8030.03,36,17.24,Debt Consolidation,Employed,Own,0.16,Charged Off
LN100064,CUST200064,49,72278.61,647,14833.28,60,16.54,Home Improvement,Employed,Mortgage,0.16,Current
LN100065,CUST200065,38,54596.2,841,26657.78,36,11.07,Debt Consolidation,Employed,Mortgage,0.3,Fully Paid
LN100066,CUST200066,46,75271.23,522,19164.84,36,26.17,Education,Employed,Rent,0.21,Current
LN100067,CUST200067,64,39245.15,604,17328.42,60,20.32,Debt Consolidation,Employed,Rent,0.19,Charged Off
LN100068,CUST200068,54,64046.48,662,4442.07,36,16.95,Debt Consolidation,Employed,Rent,0.13,Current
LN100069,CUST200069,30,72985.03,566,19538.05,36,23.3,Credit Card Reinvestment,Employed,Mortgage,0.22,Fully Paid
LN100070,CUST200070,56,68232.94,789,20315.63,36,13.83,Home Improvement,Self-Employed,Mortgage,0.29,Current
LN100071,CUST200071,34,75376.63,788,17146.13,36,13.48,Debt Consolidation,Employed,Mortgage,0.19,Fully Paid
LN100072,CUST200072,51,48898.85,545,16714.26,60,23.92,Debt Consolidation,Employed,Mortgage,0.13,Charged Off
LN100073,CUST200073,35,93800.79,580,13878.55,36,20.76,Major Purchase,Employed,Mortgage,0.21,Charged Off
LN100074,CUST200074,28,110554.22,646,20195.22,36,18.26,Home Improvement,Employed,Rent,0.14,Current
LN100075,CUST200075,34,24933.1,721,26176.08,36,17.25,Debt Consolidation,Employed,Rent,0.25,Charged Off
LN100076,CUST200076,43,34610.05,842,17644.23,60,9.87,Home Improvement,Employed,Mortgage,0.15,Fully Paid
LN100077,CUST200077,60,66077.08,514,7226.26,60,26.86,Debt Consolidation,Unemployed,Rent,0.09,Current
LN100078,CUST200078,41,58586.23,620,7838.26,36,22.04,Debt Consolidation,Self-Employed,Mortgage,0.39,Current
LN100079,CUST200079,36,112410.31,577,20809.92,60,20.2,Education,Employed,Rent,0.31,Fully Paid
LN100080,CUST200080,38,70494.61,821,7291.27,36,14.37,Debt Consolidation,Employed,Rent,0.27,Current
LN100081,CUST200081,44,99813.63,794,16608.44,36,13.47,Debt Consolidation,Employed,Mortgage,0.16,Fully Paid
LN100082,CUST200082,46,18000.0,740,12235.66,60,17.48,Education,Employed,Mortgage,0.15,Current
LN100083,CUST200083,45,85354.24,517,6422.11,36,24.52,Major Purchase,Employed,Mortgage,0.28,Fully Paid
LN100084,CUST200084,61,47112.08,755,21658.16,36,14.53,Debt Consolidation,Employed,Mortgage,0.06,Fully Paid
LN100085,CUST200085,49,46711.44,776,20654.16,36,13.54,Home Improvement,Employed,Rent,0.19,Charged Off
LN100086,CUST200086,35,58791.05,526,4154.81,36,20.29,Small Business,Employed,Rent,0.14,Charged Off
LN100087,CUST200087,21,29385.41,501,18851.55,36,26.35,Debt Consolidation,Self-Employed,Mortgage,0.11,Charged Off
LN100088,CUST200088,45,76069.64,794,17682.08,36,12.18,Home Improvement,Employed,Mortgage,0.1,Fully Paid
LN100089,CUST200089,27,69767.87,811,21699.66,36,14.0,Home Improvement,Employed,Rent,0.33,Fully Paid
LN100090,CUST200090,29,71654.81,738,16334.26,36,17.99,Home Improvement,Employed,Mortgage,0.26,Fully Paid
LN100091,CUST200091,44,87175.78,512,26414.69,36,23.65,Credit Card Reinvestment,Employed,Mortgage,0.1,Charged Off
LN100092,CUST200092,21,102869.55,683,13986.71,36,16.73,Home Improvement,Unemployed,Rent,0.05,Fully Paid
LN100093,CUST200093,64,55907.22,693,12823.24,60,18.79,Debt Consolidation,Employed,Mortgage,0.03,Fully Paid
LN100094,CUST200094,28,76933.77,555,7201.67,36,22.1,Major Purchase,Self-Employed,Mortgage,0.21,Current
LN100095,CUST200095,44,72324.71,729,7528.46,60,17.82,Debt Consolidation,Employed,Rent,0.44,Current
