EmployeeID,Age,Gender,Department,JobRole,Education,MaritalStatus,MonthlyIncome,YearsAtCompany,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,OverTime,BusinessTravel,DistanceFromHome,Attrition
EMP00001,21,Male,Human Resources,Sales Executive,Master,Divorced,3900,9,2,1,1,No,Travel_Rarely,14,No
EMP00002,45,Male,Human Resources,Sales Executive,Bachelor,Divorced,4027,15,4,1,2,Yes,Non-Travel,18,Yes
EMP00003,52,Male,Human Resources,Manager,Bachelor,Single,8156,18,3,1,1,Yes,Travel_Frequently,2,No
EMP00004,45,Female,Research & Development,HR Executive,PhD,Married,11822,31,2,2,2,Yes,Non-Travel,19,No
EMP00005,39,Female,Research & Development,HR Executive,High School,Single,18775,33,4,2,3,No,Non-Travel,30,No
EMP00006,60,Male,Human Resources,HR Executive,Master,Married,13474,26,4,4,1,No,Non-Travel,9,Yes
EMP00007,37,Female,Research & Development,Developer,PhD,Divorced,13370,4,1,4,3,No,Non-Travel,20,Yes
EMP00008,36,Male,Human Resources,Research Scientist,PhD,Married,18269,31,1,2,4,Yes,Travel_Rarely,18,Yes
EMP00009,53,Female,Human Resources,Laboratory Technician,Master,Divorced,14466,8,2,2,1,No,Non-Travel,5,No
EMP00010,55,Male,Research & Development,Manager,High School,Single,15728,14,3,3,2,Yes,Travel_Frequently,28,Yes
EMP00011,53,Female,Research & Development,Laboratory Technician,PhD,Single,17778,29,4,1,2,Yes,Non-Travel,7,No
EMP00012,56,Male,Sales,Sales Executive,Bachelor,Divorced,5324,10,3,1,1,No,Non-Travel,20,Yes
EMP00013,40,Female,Research & Development,Sales Executive,High School,Married,17269,9,4,4,3,No,Non-Travel,5,No
EMP00014,48,Male,Human Resources,Sales Executive,Bachelor,Divorced,13853,21,2,1,3,Yes,Travel_Frequently,28,No
EMP00015,28,Female,Sales,HR Executive,Master,Divorced,9308,16,2,2,4,Yes,Travel_Frequently,26,No
EMP00016,40,Male,Sales,Manager,PhD,Married,8345,12,3,4,3,Yes,Travel_Rarely,3,No
EMP00017,30,Female,Sales,Laboratory Technician,High School,Married,13272,6,1,1,4,Yes,Travel_Frequently,25,No
EMP00018,45,Female,Sales,Developer,PhD,Married,15152,30,1,2,2,Yes,Non-Travel,1,No
EMP00019,59,Male,Human Resources,HR Executive,PhD,Divorced,13482,37,2,2,1,Yes,Non-Travel,26,No
EMP00020,26,Female,Sales,Research Scientist,High School,Married,8972,33,3,2,3,Yes,Travel_Rarely,18,No
EMP00021,40,Female,Human Resources,HR Executive,PhD,Divorced,6284,8,2,1,4,No,Non-Travel,20,Yes
EMP00022,48,Male,Human Resources,Sales Executive,Master,Divorced,18985,9,4,1,1,Yes,Non-Travel,7,No
EMP00023,50,Female,Human Resources,Sales Executive,High School,Married,12669,2,2,3,4,No,Travel_Frequently,18,No
EMP00024,51,Female,Human Resources,Research Scientist,PhD,Single,15652,32,1,4,4,No,Travel_Rarely,3,No
EMP00025,60,Female,Sales,Research Scientist,Master,Single,10293,27,2,4,2,Yes,Travel_Frequently,4,Yes
EMP00026,60,Male,Sales,Developer,PhD,Divorced,15232,31,3,4,2,No,Travel_Rarely,11,No
EMP00027,53,Female,Research & Development,Developer,High School,Married,12862,23,3,1,1,Yes,Non-Travel,29,Yes
EMP00028,20,Male,Research & Development,Research Scientist,PhD,Divorced,10474,5,4,2,4,Yes,Travel_Frequently,11,No
EMP00029,29,Female,Sales,Manager,High School,Divorced,4902,17,3,1,2,Yes,Non-Travel,9,Yes
EMP00030,53,Female,Research & Development,HR Executive,Bachelor,Single,19265,29,2,1,2,Yes,Travel_Rarely,2,Yes
EMP00031,58,Female,Human Resources,Research Scientist,Master,Married,18386,12,2,3,3,Yes,Non-Travel,9,No
EMP00032,50,Male,Human Resources,Laboratory Technician,Bachelor,Married,5482,0,4,4,4,Yes,Travel_Frequently,10,Yes
EMP00033,58,Male,Research & Development,Manager,High School,Single,2467,14,1,3,4,Yes,Non-Travel,2,No
EMP00034,60,Female,Human Resources,Research Scientist,Master,Single,17055,24,2,2,3,Yes,Travel_Rarely,1,No
EMP00035,53,Female,Sales,Sales Executive,Master,Single,13684,23,2,1,3,No,Travel_Rarely,3,No
EMP00036,30,Male,Human Resources,Sales Executive,High School,Married,4941,17,2,4,1,No,Travel_Rarely,1,No
EMP00037,23,Male,Human Resources,Developer,PhD,Married,18193,19,2,3,2,No,Non-Travel,27,No
EMP00038,51,Male,Human Resources,HR Executive,Bachelor,Single,3021,32,1,2,3,No,Non-Travel,13,No
EMP00039,19,Male,Research & Development,Manager,High School,Married,4297,35,1,1,4,No,Travel_Rarely,26,Yes
EMP00040,31,Male,Human Resources,Developer,PhD,Married,14535,16,1,4,3,Yes,Non-Travel,20,No
EMP00041,59,Female,Human Resources,HR Executive,Bachelor,Single,17807,4,1,4,3,Yes,Travel_Frequently,4,No
EMP00042,51,Female,Research & Development,Laboratory Technician,PhD,Single,19992,31,2,3,1,Yes,Travel_Rarely,1,No
EMP00043,50,Female,Research & Development,Laboratory Technician,Bachelor,Single,4444,29,1,2,3,No,Travel_Rarely,5,Yes
EMP00044,32,Female,Research & Development,Laboratory Technician,High School,Single,2117,7,4,4,4,No,Travel_Rarely,24,No
EMP00045,38,Male,Research & Development,Sales Executive,Master,Married,15050,26,1,2,1,Yes,Travel_Frequently,10,No
EMP00046,42,Male,Research & Development,Laboratory Technician,Master,Single,11195,23,1,1,3,No,Travel_Frequently,30,Yes
EMP00047,45,Female,Sales,Manager,PhD,Single,15108,15,2,1,1,Yes,Travel_Frequently,14,No
EMP00048,59,Female,Research & Development,Sales Executive,Bachelor,Single,17472,39,4,3,3,No,Travel_Rarely,9,No
EMP00049,37,Female,Human Resources,Developer,PhD,Single,7483,25,2,1,2,No,Travel_Frequently,29,No
EMP00050,39,Female,Research & Development,Research Scientist,Bachelor,Single,4972,35,2,3,1,No,Travel_Rarely,8,No
EMP00051,30,Male,Human Resources,Laboratory Technician,PhD,Married,19175,16,2,4,3,No,Travel_Rarely,25,No
EMP00052,41,Male,Human Resources,HR Executive,Bachelor,Single,10880,31,2,4,4,Yes,Travel_Frequently,15,No
EMP00053,19,Male,Sales,Laboratory Technician,PhD,Divorced,18050,19,1,1,4,No,Travel_Frequently,28,No
EMP00054,24,Male,Sales,Research Scientist,High School,Divorced,16985,28,1,1,1,No,Non-Travel,8,No
EMP00055,58,Female,Human Resources,Developer,PhD,Divorced,5674,19,1,1,3,Yes,Travel_Frequently,19,No
EMP00056,56,Male,Sales,HR Executive,Master,Married,11129,24,3,2,4,Yes,Travel_Frequently,8,No
EMP00057,37,Male,Sales,Research Scientist,PhD,Divorced,15763,1,1,3,2,Yes,Travel_Frequently,14,No
EMP00058,39,Female,Research & Development,Developer,PhD,Single,2221,14,3,1,2,No,Travel_Rarely,7,No
EMP00059,32,Female,Research & Development,Sales Executive,PhD,Divorced,8137,12,2,4,4,No,Travel_Frequently,2,No
EMP00060,19,Male,Research & Development,Sales Executive,High School,Single,14888,25,4,3,1,Yes,Non-Travel,30,Yes
EMP00061,59,Female,Sales,Manager,PhD,Married,12869,21,4,2,1,Yes,Non-Travel,3,No
EMP00062,25,Male,Research & Development,Manager,Master,Married,4875,5,1,4,2,No,Travel_Rarely,18,No
EMP00063,48,Male,Human Resources,Laboratory Technician,Bachelor,Divorced,15263,12,1,4,1,No,Travel_Rarely,3,No
EMP00064,22,Female,Research & Development,Manager,Master,Divorced,3428,16,3,3,3,Yes,Travel_Rarely,1,No
EMP00065,47,Female,Research & Development,Laboratory Technician,PhD,Single,18270,1,2,1,3,Yes,Travel_Frequently,25,Yes
EMP00066,38,Female,Research & Development,HR Executive,High School,Divorced,8465,38,4,2,2,Yes,Travel_Rarely,3,No
EMP00067,38,Male,Research & Development,Sales Executive,High School,Married,4755,30,2,1,4,Yes,Travel_Rarely,23,No
EMP00068,44,Female,Human Resources,Developer,Bachelor,Divorced,19647,11,1,3,3,No,Travel_Rarely,19,No
EMP00069,34,Male,Research & Development,Research Scientist,Bachelor,Single,9716,23,2,3,2,No,Travel_Rarely,3,No
EMP00070,50,Male,Human Resources,Sales Executive,PhD,Single,5353,16,1,4,2,No,Travel_Rarely,30,No
EMP00071,32,Male,Sales,Research Scientist,Bachelor,Single,14197,2,2,4,3,No,Travel_Frequently,1,No
EMP00072,57,Female,Sales,Sales Executive,Master,Married,6632,40,1,2,3,Yes,Non-Travel,20,No
EMP00073,41,Male,Human Resources,Manager,High School,Single,3031,0,4,4,1,Yes,Travel_Rarely,4,No
EMP00074,52,Male,Human Resources,Research Scientist,PhD,Divorced,10885,35,4,3,3,No,Travel_Rarely,2,No
EMP00075,44,Female,Sales,Manager,Bachelor,Married,15270,36,2,1,4,No,Non-Travel,14,No
EMP00076,41,Female,Sales,Research Scientist,High School,Single,6669,5,4,1,3,Yes,Travel_Frequently,17,No
EMP00077,28,Male,Sales,Sales Executive,PhD,Married,8466,9,3,2,1,Yes,Travel_Rarely,11,No
EMP00078,42,Male,Human Resources,HR Executive,Bachelor,Divorced,9276,38,4,2,4,Yes,Non-Travel,19,No
EMP00079,51,Male,Research & Development,Manager,High School,Single,10095,2,2,1,1,Yes,Travel_Frequently,27,Yes
EMP00080,47,Female,Human Resources,Laboratory Technician,Master,Divorced,10167,7,4,4,3,No,Travel_Rarely,17,No
EMP00081,57,Female,Research & Development,Research Scientist,PhD,Divorced,17017,11,2,4,4,No,Non-Travel,3,Yes
EMP00082,23,Female,Human Resources,HR Executive,High School,Single,6268,22,1,3,1,Yes,Non-Travel,25,No
EMP00083,22,Male,Sales,Research Scientist,PhD,Married,7410,8,2,1,3,No,Travel_Frequently,25,Yes
EMP00084,57,Female,Research & Development,Research Scientist,Master,Divorced,17732,10,2,3,2,No,Travel_Rarely,12,No
EMP00085,28,Female,Human Resources,Manager,PhD,Single,10661,12,1,1,3,Yes,Travel_Rarely,18,No
EMP00086,58,Female,Human Resources,Manager,Master,Married,14089,16,2,3,3,Yes,Non-Travel,15,No
