InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalPrice
540000,84406B,Storage Box,5,2023-02-19 02:52:00,60.13,10548,United Kingdom,300.65
540001,84406B,Storage Box,19,2024-06-03 06:02:00,10.11,10088,Nigeria,192.09
540002,22423,LED Lamp,3,2024-07-18 13:03:00,37.24,10846,Spain,111.72
540003,85123A,White Hanging Heart,8,2024-08-19 01:36:00,95.15,10599,Nigeria,761.2
540004,85123A,White Hanging Heart,8,2023-05-17 09:26:00,8.42,10147,Spain,67.36
540005,85123A,White Hanging Heart,19,2024-11-29 05:06:00,47.31,10595,Spain,898.89
540006,90019,Water Bottle,7,2024-07-14 22:04:00,56.8,10577,United Kingdom,397.6
540007,47566,Notebook,7,2024-06-28 13:49:00,75.22,10321,Nigeria,526.54
540008,47566,Notebook,15,2023-09-12 05:44:00,55.19,10798,Germany,827.85
540009,85123A,White Hanging Heart,19,2024-05-21 10:46:00,46.09,10459,France,875.71
540010,47566,Notebook,3,2024-03-04 05:48:00,19.03,10350,Germany,57.09
540011,22423,LED Lamp,14,2024-11-15 02:48:00,7.32,10571,Spain,102.48
540012,22752,Gift Bag,11,2023-12-25 19:31:00,52.01,10593,Ireland,572.11
540013,22423,LED Lamp,3,2023-10-04 15:44:00,126.24,10680,United Kingdom,378.72
540014,85123A,White Hanging Heart,10,2024-11-28 14:18:00,97.6,10733,Nigeria,976.0
540015,90019,Water Bottle,12,2024-04-17 11:10:00,4.85,10625,United Kingdom,58.2
540016,22423,LED Lamp,2,2023-10-22 04:47:00,33.9,10253,Nigeria,67.8
540017,22423,LED Lamp,16,2024-04-04 12:35:00,13.47,10284,Germany,215.52
540018,22752,Gift Bag,14,2023-10-13 22:26:00,129.8,10367,Netherlands,1817.2
540019,22423,LED Lamp,8,2023-06-30 04:14:00,23.91,10674,Germany,191.28
540020,85123A,White Hanging Heart,16,2023-07-06 08:18:00,124.92,10004,Germany,1998.72
540021,22423,LED Lamp,18,2024-08-02 10:08:00,56.33,10707,Ireland,1013.94
540022,47566,Notebook,20,2023-02-25 14:57:00,98.76,10891,Ireland,1975.2
540023,22752,Gift Bag,18,2024-02-13 12:06:00,59.77,10493,Netherlands,1075.86
540024,22423,LED Lamp,2,2023-08-02 14:10:00,29.81,10112,France,59.62
540025,47566,Notebook,2,2024-08-03 04:34:00,16.7,10103,France,33.4
540026,47566,Notebook,1,2023-08-01 19:24:00,11.94,10152,Netherlands,11.94
540027,84406B,Storage Box,12,2024-04-30 03:07:00,90.94,10869,Nigeria,1091.28
540028,22423,LED Lamp,16,2023-03-29 04:06:00,73.35,10767,France,1173.6
540029,90019,Water Bottle,9,2024-12-09 05:33:00,72.58,10023,Germany,653.22
540030,47566,Notebook,12,2024-07-10 00:48:00,23.27,10540,France,279.24
540031,90019,Water Bottle,3,2023-09-25 16:23:00,104.89,10930,Germany,314.67
540032,84406B,Storage Box,8,2024-05-29 10:40:00,80.59,10228,Spain,644.72
540033,22752,Gift Bag,7,2024-02-15 23:51:00,121.2,10232,Germany,848.4
540034,47566,Notebook,16,2023-01-30 00:50:00,54.3,10286,Nigeria,868.8
540035,84406B,Storage Box,7,2023-12-19 14:51:00,104.34,10959,Netherlands,730.38
540036,84406B,Storage Box,12,2023-04-15 07:30:00,13.46,10201,France,161.52
540037,71053,Coffee Mug,16,2024-09-16 00:30:00,94.17,10931,Netherlands,1506.72
540038,84406B,Storage Box,3,2023-05-03 12:50:00,125.45,10728,Ireland,376.35
540039,71053,Coffee Mug,16,2024-03-20 20:21:00,133.52,10088,Ireland,2136.32
540040,90019,Water Bottle,13,2023-03-28 23:10:00,70.28,10174,Germany,913.64
540041,85123A,White Hanging Heart,5,2024-04-21 20:09:00,89.24,10626,Ireland,446.2
540042,47566,Notebook,16,2023-12-25 04:35:00,99.1,10561,Germany,1585.6
540043,85123A,White Hanging Heart,1,2024-10-27 03:33:00,120.2,10767,Germany,120.2
540044,22423,LED Lamp,7,2023-08-05 00:16:00,124.18,10217,France,869.26
540045,47566,Notebook,8,2023-11-30 08:34:00,114.91,10429,Ireland,919.28
540046,71053,Coffee Mug,2,2023-12-29 14:42:00,136.64,10597,Ireland,273.28
540047,47566,Notebook,14,2024-05-28 04:34:00,124.33,10155,Spain,1740.62
540048,47566,Notebook,1,2023-07-07 19:00:00,131.11,10794,Ireland,131.11
540049,71053,Coffee Mug,6,2024-09-25 23:07:00,22.52,10569,United Kingdom,135.12
540050,84406B,Storage Box,17,2024-05-09 03:56:00,80.31,10573,United Kingdom,1365.27
540051,71053,Coffee Mug,7,2023-04-11 16:28:00,42.62,10575,United Kingdom,298.34
540052,22752,Gift Bag,3,2024-09-19 16:38:00,67.32,10524,Germany,201.96
540053,90019,Water Bottle,9,2024-06-30 15:32:00,68.67,10964,Germany,618.03
540054,90019,Water Bottle,17,2023-09-23 17:57:00,131.67,10965,Germany,2238.39
540055,22752,Gift Bag,15,2023-05-05 12:28:00,21.86,10323,United Kingdom,327.9
540056,90019,Water Bottle,8,2023-08-06 21:19:00,65.11,10802,United Kingdom,520.88
540057,22752,Gift Bag,5,2024-10-20 21:23:00,141.02,10146,France,705.1
540058,71053,Coffee Mug,15,2023-04-07 12:56:00,34.11,10498,Germany,511.65
540059,90019,Water Bottle,8,2024-03-17 16:25:00,25.48,10347,Nigeria,203.84
540060,71053,Coffee Mug,12,2024-01-10 00:21:00,48.8,10567,Nigeria,585.6
540061,22423,LED Lamp,1,2024-06-13 19:18:00,58.58,10524,United Kingdom,58.58
540062,85123A,White Hanging Heart,8,2023-04-18 02:16:00,145.8,10278,United Kingdom,1166.4
540063,22752,Gift Bag,6,2023-05-13 13:54:00,41.66,10933,Netherlands,249.96
540064,22752,Gift Bag,9,2024-07-03 16:36:00,61.78,10506,Netherlands,556.02
540065,84406B,Storage Box,3,2024-12-05 05:27:00,42.94,10916,United Kingdom,128.82
540066,84406B,Storage Box,1,2023-09-24 02:38:00,95.71,10876,Germany,95.71
540067,85123A,White Hanging Heart,9,2024-04-09 00:21:00,129.62,10566,Nigeria,1166.58
540068,84406B,Storage Box,20,2024-06-23 22:15:00,20.69,10960,United Kingdom,413.8
540069,71053,Coffee Mug,9,2023-07-26 09:40:00,8.98,10312,Spain,80.82
540070,22752,Gift Bag,7,2024-05-27 21:11:00,44.56,10277,France,311.92
540071,22752,Gift Bag,1,2023-02-07 00:01:00,149.18,10750,Spain,149.18
540072,47566,Notebook,7,2023-09-09 14:06:00,77.86,10674,Ireland,545.02
540073,90019,Water Bottle,14,2024-07-13 12:32:00,98.99,10315,Netherlands,1385.86
540074,71053,Coffee Mug,8,2024-12-24 23:40:00,52.39,10143,Nigeria,419.12
540075,84406B,Storage Box,2,2023-01-15 02:40:00,125.79,10758,France,251.58
540076,22423,LED Lamp,6,2024-11-12 12:55:00,9.73,10518,Netherlands,58.38
540077,84406B,Storage Box,20,2023-10-28 01:29:00,37.47,10189,Germany,749.4
540078,84406B,Storage Box,15,2024-01-08 10:35:00,2.04,10331,Germany,30.6
540079,85123A,White Hanging Heart,10,2023-07-07 00:21:00,33.85,10390,United Kingdom,338.5
540080,22423,LED Lamp,9,2023-07-25 07:32:00,76.16,10794,United Kingdom,685.44
540081,85123A,White Hanging Heart,9,2023-05-28 12:37:00,122.83,10042,Nigeria,1105.47
540082,85123A,White Hanging Heart,10,2023-08-27 02:37:00,46.68,10980,Spain,466.8
540083,22752,Gift Bag,5,2024-09-02 12:48:00,99.15,10333,Netherlands,495.75
540084,22423,LED Lamp,5,2024-09-25 20:09:00,43.7,10044,Ireland,218.5
540085,22752,Gift Bag,17,2024-12-18 16:08:00,94.66,10931,Spain,1609.22
540086,22752,Gift Bag,17,2023-01-17 21:37:00,85.92,10817,Netherlands,1460.64
540087,90019,Water Bottle,8,2023-02-12 04:40:00,14.14,10369,United Kingdom,113.12
540088,22423,LED Lamp,15,2024-10-04 00:40:00,84.44,10544,Netherlands,1266.6
540089,71053,Coffee Mug,16,2024-04-12 02:47:00,40.67,10954,Spain,650.72
540090,47566,Notebook,3,2023-03-09 23:47:00,99.41,10485,France,298.23
540091,22752,Gift Bag,3,2023-08-29 23:48:00,127.15,10210,Germany,381.45
540092,90019,Water Bottle,15,2024-01-27 02:30:00,74.85,10932,Netherlands,1122.75
540093,84406B,Storage Box,2,2024-10-20 06:04:00,93.12,10614,Germany,186.24
540094,84406B,Storage Box,9,2024-12-10 09:39:00,98.25,10581,Germany,884.25
540095,85123A,White Hanging Heart,16,2023-10-03 21:06:00,10.51,10708,Germany,168.16
540096,90019,Water Bottle,16,2024-06-12 09:29:00,44.69,10477,Nigeria,715.04
540097,22752,Gift Bag,4,2024-07-16 06:19:00,149.01,10087,Nigeria,596.04
