Property_ID,City,Region,Property_Type,Bedrooms,Bathrooms,Size_sqft,Year_Built,Listing_Type,Days_On_Market,Garage,Swimming_Pool,Garden,Price,Agent_Name
1,Kano,North,Apartment,7,2,1369,2019,Sale,80,Yes,No,No,298897.0,Agent_1
2,Enugu,North,Apartment,5,4,5665,2002,Rent,57,No,Yes,No,831653.0,Agent_2
3,Port Harcourt,South,Villa,7,5,5194,2005,Sale,308,No,No,No,992191.0,Agent_3
4,Enugu,West,Villa,1,3,1306,1996,Sale,174,No,Yes,Yes,244848.0,Agent_4
5,Enugu,North,Bungalow,6,3,2434,2016,Sale,238,Yes,Yes,No,497495.0,Agent_5
6,Abuja,West,Villa,4,4,5672,2024,Sale,166,No,No,Yes,1103565.0,Agent_6
7,Port Harcourt,South,Villa,2,2,1203,2004,Rent,84,Yes,No,Yes,301278.0,Agent_7
8,Port Harcourt,South,Duplex,4,3,3023,2017,Sale,48,Yes,Yes,Yes,642101.0,Agent_8
9,Port Harcourt,West,Bungalow,4,2,3139,2024,Sale,127,Yes,No,No,572633.0,Agent_9
10,Enugu,South,Bungalow,3,4,5082,1996,Sale,169,Yes,Yes,No,798379.0,Agent_10
11,Kano,East,Bungalow,6,2,4409,2009,Rent,354,Yes,No,No,569802.0,Agent_11
12,Port Harcourt,East,Duplex,3,2,5301,2021,Sale,349,Yes,Yes,No,874032.0,Agent_12
13,Ibadan,South,Villa,7,2,1664,2021,Rent,67,Yes,Yes,No,275306.0,Agent_13
14,Enugu,East,Bungalow,4,3,1119,2015,Rent,330,Yes,No,Yes,239305.0,Agent_14
15,Abuja,North,Bungalow,2,1,3566,2009,Sale,340,No,No,Yes,685030.0,Agent_15
16,Kano,West,Apartment,4,5,5372,2007,Rent,194,No,Yes,No,680530.0,Agent_16
17,Ibadan,North,Bungalow,6,2,946,2004,Sale,155,Yes,Yes,Yes,171812.0,Agent_17
18,Ibadan,West,Villa,3,2,2837,2011,Rent,160,No,Yes,Yes,366299.0,Agent_18
19,Abuja,South,Villa,2,2,708,2011,Rent,184,No,Yes,No,167318.0,Agent_19
20,Kano,North,Apartment,4,1,2960,2010,Sale,266,No,No,Yes,409989.0,Agent_20
21,Enugu,South,Bungalow,5,4,3942,1991,Rent,168,Yes,No,Yes,587245.0,Agent_21
22,Lagos,South,Bungalow,6,3,3211,2007,Sale,145,No,No,No,862309.0,Agent_22
23,Kano,West,Bungalow,6,1,2837,2012,Rent,186,Yes,Yes,Yes,350748.0,Agent_23
24,Abuja,West,Duplex,5,2,1791,2002,Sale,353,No,No,No,479100.0,Agent_24
25,Ibadan,West,Bungalow,4,1,2698,1998,Sale,262,No,Yes,No,420537.0,Agent_25
26,Enugu,North,Villa,6,1,5874,1996,Sale,274,No,Yes,No,843730.0,Agent_26
27,Kano,East,Villa,2,1,1900,1990,Sale,328,Yes,No,Yes,271217.0,Agent_27
28,Lagos,West,Duplex,4,4,5450,1991,Rent,345,Yes,No,Yes,1221064.0,Agent_28
29,Lagos,West,Duplex,4,5,5977,1993,Sale,223,Yes,Yes,Yes,1241398.0,Agent_29
30,Port Harcourt,North,Bungalow,3,3,3155,2003,Sale,42,Yes,Yes,No,605995.0,Agent_30
31,Port Harcourt,West,Apartment,6,4,4512,2021,Sale,4,Yes,No,Yes,811477.0,Agent_31
32,Abuja,North,Duplex,6,4,1204,2025,Sale,276,Yes,Yes,Yes,351542.0,Agent_32
33,Kano,South,Duplex,5,5,1325,1991,Rent,284,Yes,No,No,257036.0,Agent_33
34,Kano,West,Bungalow,3,4,1504,2003,Sale,193,Yes,No,No,194184.0,Agent_34
35,Ibadan,West,Bungalow,7,1,3960,2009,Rent,104,Yes,Yes,No,597793.0,Agent_35
36,Ibadan,South,Duplex,3,1,876,2014,Sale,247,No,Yes,Yes,133675.0,Agent_36
37,Ibadan,South,Apartment,6,2,1472,1997,Sale,300,No,Yes,No,274061.0,Agent_37
38,Port Harcourt,South,Duplex,4,4,4713,2017,Sale,23,Yes,Yes,Yes,900942.0,Agent_38
39,Kano,West,Bungalow,3,2,3576,2010,Sale,303,No,Yes,No,420707.0,Agent_39
40,Kano,East,Bungalow,5,3,943,2012,Sale,13,No,No,No,186073.0,Agent_40
41,Lagos,East,Duplex,3,1,1254,2021,Sale,144,Yes,No,No,393749.0,Agent_41
42,Port Harcourt,East,Apartment,5,3,4104,1997,Rent,218,Yes,No,No,713852.0,Agent_42
43,Enugu,West,Duplex,7,5,5235,2020,Rent,183,No,No,Yes,895060.0,Agent_43
44,Port Harcourt,South,Duplex,3,1,2671,2005,Sale,351,Yes,Yes,Yes,532917.0,Agent_44
45,Enugu,West,Bungalow,5,3,3205,2016,Sale,242,No,No,Yes,527734.0,Agent_45
46,Lagos,South,Apartment,3,5,5896,2007,Sale,193,Yes,Yes,No,1274109.0,Agent_46
47,Abuja,West,Villa,7,3,3965,2024,Rent,272,No,Yes,Yes,910402.0,Agent_47
48,Kano,West,Apartment,3,5,3211,2004,Sale,165,Yes,Yes,No,392828.0,Agent_48
49,Lagos,South,Duplex,2,5,2907,2016,Rent,180,No,Yes,No,699898.0,Agent_49
50,Kano,East,Duplex,5,1,1122,2006,Rent,117,No,Yes,Yes,192694.0,Agent_50
51,Ibadan,South,Duplex,7,2,2223,1991,Rent,266,No,No,No,385841.0,Agent_1
52,Abuja,North,Apartment,5,5,3822,2020,Rent,38,No,Yes,No,870939.0,Agent_2
53,Abuja,North,Bungalow,5,5,2419,2023,Rent,44,Yes,Yes,Yes,616854.0,Agent_3
54,Lagos,South,Duplex,1,1,1418,2023,Sale,351,No,No,Yes,293501.0,Agent_4
55,Abuja,West,Duplex,7,2,5769,1992,Rent,74,Yes,No,No,1247649.0,Agent_5
56,Enugu,North,Apartment,3,4,5781,2006,Rent,226,No,No,Yes,851853.0,Agent_6
57,Abuja,North,Villa,5,4,4715,2003,Sale,307,Yes,Yes,No,1004932.0,Agent_7
58,Kano,West,Villa,6,2,1081,2003,Sale,308,No,Yes,Yes,247552.0,Agent_8
59,Kano,West,Bungalow,1,3,5786,2024,Rent,348,Yes,Yes,No,620445.0,Agent_9
60,Kano,East,Bungalow,2,1,4381,1990,Sale,315,No,Yes,No,534115.0,Agent_10
61,Kano,West,Duplex,5,2,2186,2018,Sale,13,No,No,No,313209.0,Agent_11
62,Enugu,South,Apartment,5,4,4409,1993,Sale,12,Yes,No,Yes,673846.0,Agent_12
63,Port Harcourt,South,Duplex,1,5,2499,2022,Rent,50,No,No,Yes,406303.0,Agent_13
64,Ibadan,East,Bungalow,3,4,3211,2006,Rent,313,No,No,No,448509.0,Agent_14
65,Lagos,North,Apartment,6,5,900,2017,Sale,249,No,No,Yes,321691.0,Agent_15
66,Kano,North,Apartment,2,1,4148,2015,Sale,119,No,No,Yes,514382.0,Agent_16
67,Abuja,West,Bungalow,5,5,5945,1997,Rent,57,Yes,Yes,Yes,1317279.0,Agent_17
68,Kano,South,Villa,3,2,3128,2023,Rent,182,No,Yes,No,379506.0,Agent_18
69,Abuja,North,Villa,7,5,2156,2007,Sale,264,Yes,No,Yes,586062.0,Agent_19
70,Ibadan,East,Apartment,6,3,1120,2020,Rent,106,Yes,No,Yes,210891.0,Agent_20
71,Ibadan,East,Duplex,7,2,746,2016,Rent,191,Yes,No,Yes,220679.0,Agent_21
72,Ibadan,South,Villa,6,1,5712,2005,Sale,137,Yes,No,No,766850.0,Agent_22
73,Abuja,East,Duplex,2,2,3839,1999,Sale,188,No,Yes,No,803322.0,Agent_23
74,Kano,East,Villa,4,3,3510,2001,Rent,120,No,Yes,No,465506.0,Agent_24
75,Ibadan,South,Villa,6,1,5219,2011,Rent,242,Yes,Yes,Yes,760118.0,Agent_25
76,Enugu,West,Duplex,4,4,2868,2005,Rent,319,No,No,No,462565.0,Agent_26
77,Abuja,West,Bungalow,7,3,4494,2001,Sale,72,No,No,Yes,1053914.0,Agent_27
78,Abuja,East,Villa,6,1,2339,2000,Sale,243,Yes,No,Yes,502776.0,Agent_28
79,Kano,West,Villa,2,5,3403,2009,Sale,131,Yes,Yes,No,470089.0,Agent_29
80,Abuja,West,Duplex,1,2,4895,1990,Sale,269,Yes,Yes,Yes,897316.0,Agent_30
81,Abuja,East,Bungalow,2,1,4998,2016,Rent,52,No,Yes,No,955449.0,Agent_31
82,Ibadan,West,Villa,2,2,4191,1992,Sale,62,Yes,No,Yes,594202.0,Agent_32
83,Kano,East,Villa,1,5,4341,2001,Sale,119,Yes,Yes,Yes,488830.0,Agent_33
84,Ibadan,North,Bungalow,1,1,4848,2019,Rent,264,No,Yes,Yes,651269.0,Agent_34
85,Ibadan,South,Villa,3,4,1892,1998,Sale,239,No,No,Yes,346772.0,Agent_35
86,Kano,South,Bungalow,6,3,4250,1990,Rent,351,No,Yes,Yes,533961.0,Agent_36
87,Lagos,West,Bungalow,7,1,4755,1993,Sale,255,No,No,No,1134816.0,Agent_37
88,Ibadan,West,Duplex,3,5,3508,2004,Rent,173,No,No,No,458232.0,Agent_38
89,Enugu,West,Apartment,1,1,4800,2016,Rent,309,No,No,No,610655.0,Agent_39
90,Enugu,South,Bungalow,4,2,3838,1997,Rent,237,No,Yes,No,606694.0,Agent_40
91,Abuja,North,Duplex,7,1,5757,2012,Sale,319,No,Yes,Yes,1216510.0,Agent_41
92,Enugu,North,Apartment,4,4,5987,2004,Rent,95,Yes,No,Yes,863630.0,Agent_42
93,Abuja,South,Villa,2,1,4014,2016,Sale,337,No,Yes,No,816566.0,Agent_43
94,Lagos,North,Apartment,5,3,5453,2020,Sale,57,Yes,No,No,1127090.0,Agent_44
95,Kano,South,Bungalow,2,1,1259,1997,Sale,67,No,Yes,Yes,140580.0,Agent_45
96,Kano,North,Bungalow,2,2,3268,2019,Sale,46,No,No,No,431673.0,Agent_46
97,Kano,East,Bungalow,5,1,3588,2007,Sale,94,Yes,No,Yes,438924.0,Agent_47
98,Enugu,East,Bungalow,6,4,2615,1993,Sale,138,No,Yes,Yes,428373.0,Agent_48
99,Lagos,South,Bungalow,1,5,4728,2011,Rent,93,Yes,No,No,1020997.0,Agent_49
100,Enugu,North,Duplex,4,1,2223,1992,Rent,232,No,No,Yes,400734.0,Agent_50
101,Enugu,West,Bungalow,2,1,3466,2004,Sale,49,Yes,No,Yes,504661.0,Agent_1
102,Lagos,North,Duplex,5,3,929,2024,Sale,23,Yes,No,No,345261.0,Agent_2
103,Lagos,East,Villa,3,4,2855,2022,Sale,62,No,No,No,623286.0,Agent_3
104,Lagos,East,Bungalow,2,5,5793,2003,Sale,267,Yes,Yes,Yes,1272594.0,Agent_4
105,Lagos,North,Bungalow,4,2,2959,1990,Sale,329,Yes,Yes,No,710187.0,Agent_5
106,Kano,North,Apartment,1,1,4692,2015,Rent,118,No,No,Yes,483893.0,Agent_6
107,Port Harcourt,West,Villa,2,5,5773,1997,Rent,88,No,Yes,No,1028535.0,Agent_7
108,Port Harcourt,West,Bungalow,2,2,2218,2005,Sale,89,Yes,No,Yes,428870.0,Agent_8
109,Lagos,North,Bungalow,6,4,1765,1999,Sale,55,No,No,Yes,577648.0,Agent_9
110,Port Harcourt,North,Villa,5,4,5923,2015,Rent,153,Yes,No,Yes,1050533.0,Agent_10
111,Port Harcourt,North,Duplex,3,5,1808,2017,Sale,239,Yes,No,Yes,339733.0,Agent_11
112,Lagos,North,Bungalow,3,2,1550,2001,Sale,265,Yes,No,Yes,333517.0,Agent_12
113,Port Harcourt,South,Apartment,7,4,3973,2009,Sale,268,No,Yes,Yes,797822.0,Agent_13
114,Enugu,North,Bungalow,1,5,5979,2003,Rent,113,No,Yes,Yes,829059.0,Agent_14
115,Abuja,West,Apartment,7,4,2749,2024,Rent,166,Yes,Yes,Yes,663435.0,Agent_15
116,Abuja,East,Apartment,4,4,3309,2018,Sale,156,Yes,Yes,Yes,756190.0,Agent_16
117,Lagos,South,Bungalow,1,4,3421,2001,Rent,8,Yes,Yes,No,698477.0,Agent_17
118,Kano,North,Bungalow,2,3,5176,2007,Rent,202,No,Yes,Yes,624078.0,Agent_18
119,Lagos,East,Apartment,2,2,4541,1991,Sale,217,Yes,No,No,934862.0,Agent_19
120,Kano,South,Villa,3,5,2917,1991,Rent,292,No,Yes,No,404798.0,Agent_20
